Abbreviation	Equation	Lower	Upper	Present	Synthetic objective	GeneAssociation	Knockout cost	Knockin cost
LPLIPAL2ATE181	[c] : 2agpe181 + pg181 --> apg181 + g3pe			1	0	((b3825))	1	1
LPLIPAL2ATG120	[c] : 2agpg120 + pg120 --> apg120 + g3pg			1	0	((b3825))	1	1
LPLIPAL2ATG140	[c] : 2agpg140 + pg140 --> apg140 + g3pg			1	0	((b3825))	1	1
LPLIPAL2ATG141	[c] : 2agpg141 + pg141 --> apg141 + g3pg			1	0	((b3825))	1	1
LPLIPAL2ATG160	[c] : 2agpg160 + pg160 --> apg160 + g3pg			1	0	((b3825))	1	1
LPLIPAL2ATG161	[c] : 2agpg161 + pg161 --> apg161 + g3pg			1	0	((b3825))	1	1
LPLIPAL2ATG180	[c] : 2agpg180 + pg180 --> apg180 + g3pg			1	0	((b3825))	1	1
LPLIPAL2ATG181	[c] : 2agpg181 + pg181 --> apg181 + g3pg			1	0	((b3825))	1	1
LPLIPAL2E120	[c] : 2agpe120 + h2o --> ddca + g3pe + h			1	0	((b3825))	1	1
LPLIPAL2E140	[c] : 2agpe140 + h2o --> g3pe + h + ttdca			1	0	((b3825))	1	1
LPLIPAL2E141	[c] : 2agpe141 + h2o --> g3pe + h + ttdcea			1	0	((b3825))	1	1
LPLIPAL2E160	[c] : 2agpe160 + h2o --> g3pe + h + hdca			1	0	((b3825))	1	1
LPLIPAL2E161	[c] : 2agpe161 + h2o --> g3pe + h + hdcea			1	0	((b3825))	1	1
LPLIPAL2E180	[c] : 2agpe180 + h2o --> g3pe + h + ocdca			1	0	((b3825))	1	1
LPLIPAL2E181	[c] : 2agpe181 + h2o --> g3pe + h + ocdcea			1	0	((b3825))	1	1
LPLIPAL2G120	[c] : 2agpg120 + h2o --> ddca + g3pg + h			1	0	((b3825))	1	1
LPLIPAL2G140	[c] : 2agpg140 + h2o --> g3pg + h + ttdca			1	0	((b3825))	1	1
LPLIPAL2G141	[c] : 2agpg141 + h2o --> g3pg + h + ttdcea			1	0	((b3825))	1	1
LPLIPAL2G160	[c] : 2agpg160 + h2o --> g3pg + h + hdca			1	0	((b3825))	1	1
