KEGG, CAS,PubChem,ChEBI,NIKKAJI,PDB-CCD,KNApSAcK,3DMET,LIPIDMAPS,GlycomeDB,CCSD,JCGGDB,LipidBank
C12420, ,582810,31054,J679.239A, , ,B04500, , , , , 
C12423,116235-59-7,582813,75244,J228.004C, ,C00017921,B04503, , , , , 
C12422, ,582812,75311,J2.231.090I, , ,B04502, , , , , 
G10477, , , , , , , , ,157, , , 
G10471, , , , , , , , ,24276,46510,JCGG-STR015371, 
G10473, , , , , , , , ,24278,29143|31684|33101|33941|35856|36382|45026|48169|49549|49553,JCGG-STR015373, 
G10472, , , , , , , , ,24277,49074,JCGG-STR015372, 
C09539,25873-31-8,11730,8770,J19.094B, ,C00003360,B03061, , , , , 
C09538,63968-64-9,11729,223316,J86.051D, ,C00003359,B03060,LMPR0103190003, , , , 
G01338, , , , , , , , ,18065,2892|6786|11743|19068|44746,JCGG-STR008674, 
G01339, , , , , , , , ,633,1264|14579|44102,JCGG-STR027393,GSG2060
C09533,40328-96-9,11724,8599,J18.413F, ,C00003354,B03055, , , , , 
C09532,68799-88-2,11723,8284,J19.593F, ,C00003353,B03054, , , , , 
C09531,34257-95-9,11722,8268,J18.396B, ,C00003352,B03053, , , , , 
G01337, , , , , , , , ,18064,4593|7473|7474|16515,JCGG-STR008673, 
C09537,66550-08-1,11728,8690,J20.422F, ,C00003358,B03059, , , , , 
G01331, , , , , , , , ,18061,4901|19606|19607|21569,JCGG-STR008670, 
C09535,55306-05-3,11726,8652,J12.886D, ,C00012419,B03057, , , , , 
G01333, , , , , , , , ,18062,5506|5507|5508,JCGG-STR008671, 
C12397,7414-92-8,582787,32212,J797.618F, , ,B04480, , , , , 
C12396,8/8/7351,582786,32211,J149.225J, , ,B05635, , , , , 
C12395,149633-99-8,582785,31738,J572.531C, ,C00016835,B04479, , , , , 
C12394,35303-14-1,582784,31751,J591.160E, ,C00018813,B04478, , , , , 
C12393,120796-24-9,582783,32045,J818.255H, ,C00017655,B04477, , , , , 
C12392, ,582782,32153,J767.638G, , ,B05634, , , , , 
C12391, ,582781,31752,J767.637I, , ,B04476, , , , , 
C12390, ,582780,31461,J817.407E, ,C00015999,B04475, , , , , 
G00067, , , , , , , , ,5437,994|995|5376|8586|9294|9301|11030|11955|12351|14432|15276|16400|16464|16479|16886|16897|16906|17419|18208|18415|18426|18484|18639|18920|19319|20740|21104|21278|21744|22115|25467|25856|26183|26382|28510|31754|33735|37578|37844|38291|41775|43215|44622|45489|50330,JCGG-STR026436,GSG1174
